result_1_limit,result_0_limit,accuracy
0.6,0.55,68.31111111111112
0.6,0.56,68.4888888888889
0.6,0.57,68.71111111111111
0.6,0.58,68.8
0.6,0.59,69.02222222222221
0.61,0.55,67.95555555555556
0.61,0.56,68.13333333333334
0.61,0.57,68.35555555555555
0.61,0.58,68.44444444444444
0.61,0.59,68.66666666666667
0.61,0.6,68.71111111111111
0.62,0.55,66.93333333333334
0.62,0.56,67.11111111111111
0.62,0.57,67.33333333333333
0.62,0.58,67.42222222222222
0.62,0.59,67.64444444444445
0.62,0.6,67.68888888888888
0.62,0.61,67.68888888888888
0.63,0.55,66.53333333333333
0.63,0.56,66.71111111111111
0.63,0.57,66.93333333333334
0.63,0.58,67.02222222222223
0.63,0.59,67.24444444444444
0.63,0.6,67.28888888888889
0.63,0.61,67.28888888888889
0.63,0.62,67.24444444444444
0.64,0.55,66.17777777777778
0.64,0.56,66.35555555555555
0.64,0.57,66.57777777777778
0.64,0.58,66.66666666666666
0.64,0.59,66.88888888888889
0.64,0.6,66.93333333333334
0.64,0.61,66.93333333333334
0.64,0.62,66.88888888888889
0.64,0.63,66.88888888888889
0.65,0.55,65.06666666666666
0.65,0.56,65.24444444444445
0.65,0.57,65.46666666666667
0.65,0.58,65.55555555555556
0.65,0.59,65.77777777777779
0.65,0.6,65.82222222222222
0.65,0.61,65.82222222222222
0.65,0.62,65.77777777777779
0.65,0.63,65.77777777777779
0.65,0.64,65.77777777777779
